Kategorie;EUR_pro_Jahr
Erlös PV->Netz;12648,280137768887
Erlös BATT->Netz;437,9533341809599
Erlös PV->Last;16405,352312902
Erlös BATT->Last;112,56017936555003
Kosten Opp. Laden;-75,66329435689784
Kosten OPEX;-41,48134529999949
Kosten Zähler;-299,99999999999955
Kosten DV PV;-0,0
Kosten Vermarkter BATT;-47,48502191896121
Kosten CAPEX/Jahr;-276,542302
