timestamp;pv_gen_kwh;load_kwh;baseline_pv_to_load_kwh;pv_to_load_kwh;pv_to_grid_kwh;batt_charge_kwh;contract_power_kw
2024-01-03 02:00:00;0,0;10,941904999999998;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-03 03:00:00;0,0;11,2585575;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-03 04:00:00;0,0;13,4582775;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-03 05:00:00;0,0;15,1094475;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-03 06:00:00;0,0;18,2196225;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-03 07:00:00;0,0;26,0792975;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-03 08:00:00;0,49324134166232425;42,63165;0,49324134166232425;0,4880851540795632;0,0;0,005156187582761051;0,005156187582761051
2024-01-03 09:00:00;9,533779963514366;51,825325;9,533779963514366;9,528623775931605;0,0;0,005156187582761051;0,005156187582761051
2024-01-03 10:00:00;28,450944742796647;52,572250000000004;28,450944742796647;28,445788555213888;0,0;0,005156187582761051;0,005156187582761051
2024-01-03 11:00:00;29,343402717421952;54,104625;29,343402717421952;29,338246529839193;0,0;0,005156187582761051;0,005156187582761051
2024-01-03 12:00:00;22,407915313818474;49,727725;22,407915313818474;22,402759126235715;0,0;0,005156187582761051;0,005156187582761051
2024-01-03 13:00:00;4,706051334680603;41,58515;4,706051334680603;4,7008951470978415;0,0;0,005156187582761051;0,005156187582761051
2024-01-03 14:00:00;9,244160188095094;39,074125;9,244160188095094;9,239004000512333;0,0;0,005156187582761051;0,005156187582761051
2024-01-03 15:00:00;8,159953948364608;43,106025;8,159953948364608;8,154797760781847;0,0;0,005156187582761051;0,005156187582761051
2024-01-03 16:00:00;0,0;45,43535;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-03 17:00:00;0,0;46,15410000000001;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-03 18:00:00;0,0;38,03337500000001;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-03 19:00:00;0,0;26,4247;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-03 20:00:00;0,0;21,62368;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-03 21:00:00;0,0;18,9547025;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-03 22:00:00;0,0;17,2072775;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-03 23:00:00;0,0;16,0990225;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-04 00:00:00;0,0;13,837202499999998;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-04 01:00:00;0,0;11,880535;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-04 02:00:00;0,0;10,941904999999998;0,0;0,0;0,0;0,0;0,005156187582761051
2024-01-04 03:00:00;0,0;11,2585575;0,0;0,0;0,0;0,0;0,005156187582761051
