Zeit;Verbrauch 
03.01. 11:00;23,416
03.01. 11:15;23,602
03.01. 11:30;23,642
03.01. 11:45;23,435
03.01. 12:00;22,914
03.01. 12:15;22,137
03.01. 12:30;21,213
03.01. 12:45;20,219
03.01. 13:00;19,246
03.01. 13:15;18,361
03.01. 13:30;17,623
03.01. 13:45;17,092
03.01. 14:00;16,817
03.01. 14:15;16,787
03.01. 14:30;16,984
03.01. 14:45;17,367
03.01. 15:00;17,908
03.01. 15:15;18,508
03.01. 15:30;19,069
03.01. 15:45;19,482
03.01. 16:00;19,678
03.01. 16:15;19,737
03.01. 16:30;19,757
03.01. 16:45;19,846
03.01. 17:00;20,062
03.01. 17:15;20,239
03.01. 17:30;20,21
03.01. 17:45;19,757
03.01. 18:00;18,754
03.01. 18:15;17,367
03.01. 18:30;15,784
03.01. 18:45;14,24
03.01. 19:00;12,912
03.01. 19:15;11,811
03.01. 19:30;10,946
03.01. 19:45;10,287
03.01. 20:00;9,8343
03.01. 20:15;9,5098
03.01. 20:30;9,2541
03.01. 20:45;9,0082
03.01. 21:00;8,7034
03.01. 21:15;8,3788
03.01. 21:30;8,074
03.01. 21:45;7,8085
03.01. 22:00;7,6314
03.01. 22:15;7,5134
03.01. 22:30;7,4347
03.01. 22:45;7,3462
03.01. 23:00;7,2479
03.01. 23:15;7,1102
03.01. 23:30;6,9332
03.01. 23:45;6,707
04.01. 00:00;6,4415
04.01. 00:15;6,1563
04.01. 00:30;5,8613
04.01. 00:45;5,6056
04.01. 01:00;5,3892
04.01. 01:15;5,222
04.01. 01:30;5,0843
04.01. 01:45;4,9663
04.01. 02:00;4,8582
04.01. 02:15;4,7696
04.01. 02:30;4,7106
04.01. 02:45;4,691
04.01. 03:00;4,7106
04.01. 03:15;4,7893
04.01. 03:30;4,9368
04.01. 03:45;5,1434
04.01. 04:00;5,4187
04.01. 04:15;5,7236
04.01. 04:30;6,0186
04.01. 04:45;6,2448
04.01. 05:00;6,3923
04.01. 05:15;6,4907
04.01. 05:30;6,5988
04.01. 05:45;6,7955
04.01. 06:00;7,1299
04.01. 06:15;7,5823
04.01. 06:30;8,1527
04.01. 06:45;8,8214
04.01. 07:00;9,5983
04.01. 07:15;10,552
04.01. 07:30;11,791
04.01. 07:45;13,414
04.01. 08:00;15,45
04.01. 08:15;17,653
04.01. 08:30;19,718
04.01. 08:45;21,321
04.01. 09:00;22,245
04.01. 09:15;22,619
04.01. 09:30;22,658
04.01. 09:45;22,609
04.01. 10:00;22,619
04.01. 10:15;22,737
04.01. 10:30;22,914
04.01. 10:45;23,16
04.01. 11:00;23,416
04.01. 11:15;23,602
04.01. 11:30;23,642
04.01. 11:45;23,435
04.01. 12:00;22,914
04.01. 12:15;22,137
04.01. 12:30;21,213
04.01. 12:45;20,219
04.01. 13:00;19,246
04.01. 13:15;18,361
04.01. 13:30;17,623
04.01. 13:45;17,092
04.01. 14:00;16,817
04.01. 14:15;16,787
04.01. 14:30;16,984
04.01. 14:45;17,367
04.01. 15:00;17,908
04.01. 15:15;18,508
04.01. 15:30;19,069
04.01. 15:45;19,482
04.01. 16:00;19,678
04.01. 16:15;19,737
04.01. 16:30;19,757
04.01. 16:45;19,846
04.01. 17:00;20,062
04.01. 17:15;20,239
04.01. 17:30;20,21
04.01. 17:45;19,757
04.01. 18:00;18,754
04.01. 18:15;17,367
04.01. 18:30;15,784
04.01. 18:45;14,24
04.01. 19:00;12,912
04.01. 19:15;11,811
04.01. 19:30;10,946
04.01. 19:45;10,287
04.01. 20:00;9,8343
04.01. 20:15;9,5098
04.01. 20:30;9,2541
