Zeit;Verbrauch 
06.04. 20:45;9,0082
06.04. 21:00;8,9099
06.04. 21:15;8,7525
06.04. 21:30;8,5657
06.04. 21:45;8,3592
06.04. 22:00;8,1723
06.04. 22:15;7,9855
06.04. 22:30;7,8085
06.04. 22:45;7,6314
06.04. 23:00;7,4446
06.04. 23:15;7,2577
06.04. 23:30;7,0709
06.04. 23:45;6,8939
07.04. 00:00;6,7168
07.04. 00:15;6,5398
07.04. 00:30;6,353
07.04. 00:45;6,1563
07.04. 01:00;5,9301
07.04. 01:15;5,6941
07.04. 01:30;5,458
07.04. 01:45;5,2417
07.04. 02:00;5,0352
07.04. 02:15;4,868
07.04. 02:30;4,7205
07.04. 02:45;4,5926
07.04. 03:00;4,4943
07.04. 03:15;4,4156
07.04. 03:30;4,3566
07.04. 03:45;4,3173
07.04. 04:00;4,2878
07.04. 04:15;4,2779
07.04. 04:30;4,2878
07.04. 04:45;4,3173
07.04. 05:00;4,3763
07.04. 05:15;4,4353
07.04. 05:30;4,4845
07.04. 05:45;4,5041
07.04. 06:00;4,4845
07.04. 06:15;4,4549
07.04. 06:30;4,4451
07.04. 06:45;4,5041
07.04. 07:00;4,6418
07.04. 07:15;4,8287
07.04. 07:30;5,0155
07.04. 07:45;5,1434
07.04. 08:00;5,1925
07.04. 08:15;5,2024
07.04. 08:30;5,222
07.04. 08:45;5,3302
07.04. 09:00;5,5466
07.04. 09:15;5,8514
07.04. 09:30;6,1661
07.04. 09:45;6,4316
07.04. 10:00;6,6087
07.04. 10:15;6,7365
07.04. 10:30;6,8447
07.04. 10:45;6,9824
07.04. 11:00;7,1889
07.04. 11:15;7,4347
07.04. 11:30;7,6904
07.04. 11:45;7,9068
07.04. 12:00;8,0543
07.04. 12:15;8,1428
07.04. 12:30;8,1822
07.04. 12:45;8,1822
07.04. 13:00;8,1428
07.04. 13:15;8,074
07.04. 13:30;7,956
07.04. 13:45;7,8085
07.04. 14:00;7,6216
07.04. 14:15;7,4052
07.04. 14:30;7,1889
07.04. 14:45;6,9824
07.04. 15:00;6,8054
07.04. 15:15;6,648
07.04. 15:30;6,5005
07.04. 15:45;6,3431
07.04. 16:00;6,176
07.04. 16:15;6,0481
07.04. 16:30;6,0186
07.04. 16:45;6,1563
07.04. 17:00;6,4808
07.04. 17:15;6,9234
07.04. 17:30;7,3757
07.04. 17:45;7,7199
07.04. 18:00;7,8773
07.04. 18:15;7,9068
07.04. 18:30;7,8871
07.04. 18:45;7,9068
07.04. 19:00;8,0051
07.04. 19:15;8,1723
07.04. 19:30;8,369
07.04. 19:45;8,546
07.04. 20:00;8,664
07.04. 20:15;8,723
07.04. 20:30;8,7132
07.04. 20:45;8,6345
07.04. 21:00;8,4969
07.04. 21:15;8,3002
07.04. 21:30;8,0641
07.04. 21:45;7,8085
07.04. 22:00;7,5429
07.04. 22:15;7,2872
07.04. 22:30;7,0315
07.04. 22:45;6,7955
07.04. 23:00;6,589
07.04. 23:15;6,4218
07.04. 23:30;6,3038
07.04. 23:45;6,2448
08.04. 00:00;7,1791
08.04. 00:15;6,8939
08.04. 00:30;6,5988
08.04. 00:45;6,3431
08.04. 01:00;6,1268
08.04. 01:15;5,9596
08.04. 01:30;5,8219
08.04. 01:45;5,6941
08.04. 02:00;5,5761
08.04. 02:15;5,4679
08.04. 02:30;5,3794
08.04. 02:45;5,3302
08.04. 03:00;5,3204
08.04. 03:15;5,3695
08.04. 03:30;5,4876
08.04. 03:45;5,6941
08.04. 04:00;5,9891
08.04. 04:15;6,3333
08.04. 04:30;6,6873
08.04. 04:45;6,9824
08.04. 05:00;7,1987
08.04. 05:15;7,3462
08.04. 05:30;7,4446
08.04. 05:45;7,5331
08.04. 06:00;7,6413
08.04. 06:15;7,7986
08.04. 06:30;8,0543
08.04. 06:45;8,4575
08.04. 07:00;9,0377
08.04. 07:15;9,8737
08.04. 07:30;11,005
08.04. 07:45;12,499
08.04. 08:00;14,348
08.04. 08:15;16,345
08.04. 08:30;18,213
08.04. 08:45;19,669
08.04. 09:00;20,505
08.04. 09:15;20,859
08.04. 09:30;20,908
08.04. 09:45;20,859
08.04. 10:00;20,868
08.04. 10:15;20,957
08.04. 10:30;21,104
08.04. 10:45;21,321
08.04. 11:00;21,557
08.04. 11:15;21,754
08.04. 11:30;21,832
08.04. 11:45;21,685
08.04. 12:00;21,272
08.04. 12:15;20,632
08.04. 12:30;19,855
08.04. 12:45;19,02
08.04. 13:00;18,193
08.04. 13:15;17,446
08.04. 13:30;16,807
08.04. 13:45;16,354
08.04. 14:00;16,118
08.04. 14:15;16,089
08.04. 14:30;16,236
08.04. 14:45;16,541
08.04. 15:00;16,964
08.04. 15:15;17,436
08.04. 15:30;17,839
08.04. 15:45;18,105
08.04. 16:00;18,144
08.04. 16:15;18,056
08.04. 16:30;17,908
08.04. 16:45;17,83
08.04. 17:00;17,849
08.04. 17:15;17,869
08.04. 17:30;17,702
08.04. 17:45;17,181
08.04. 18:00;16,207
08.04. 18:15;14,899
08.04. 18:30;13,473
08.04. 18:45;12,126
08.04. 19:00;11,024
08.04. 19:15;10,169
08.04. 19:30;9,5688
08.04. 19:45;9,1853
08.04. 20:00;9,0082
08.04. 20:15;8,9591
08.04. 20:30;8,9591
08.04. 20:45;8,9099
08.04. 21:00;8,7722
08.04. 21:15;8,5755
08.04. 21:30;8,3592
08.04. 21:45;8,1822
08.04. 22:00;8,074
08.04. 22:15;8,0346
08.04. 22:30;8,0248
08.04. 22:45;7,9953
08.04. 23:00;7,9265
08.04. 23:15;7,8183
08.04. 23:30;7,6609
08.04. 23:45;7,4446
09.04. 00:00;7,1791
09.04. 00:15;6,8939
09.04. 00:30;6,5988
09.04. 00:45;6,3431
09.04. 01:00;6,1268
09.04. 01:15;5,9596
09.04. 01:30;5,8219
09.04. 01:45;5,6941
09.04. 02:00;5,5761
09.04. 02:15;5,4679
09.04. 02:30;5,3794
09.04. 02:45;5,3302
09.04. 03:00;5,3204
09.04. 03:15;5,3695
09.04. 03:30;5,4876
09.04. 03:45;5,6941
09.04. 04:00;5,9891
09.04. 04:15;6,3333
09.04. 04:30;6,6873
09.04. 04:45;6,9824
09.04. 05:00;7,1987
09.04. 05:15;7,3462
09.04. 05:30;7,4446
09.04. 05:45;7,5331
09.04. 06:00;7,6413
09.04. 06:15;7,7986
09.04. 06:30;8,0543
09.04. 06:45;8,4575
09.04. 07:00;9,0377
09.04. 07:15;9,8737
09.04. 07:30;11,005
09.04. 07:45;12,499
09.04. 08:00;14,348
09.04. 08:15;16,345
09.04. 08:30;18,213
09.04. 08:45;19,669
09.04. 09:00;20,505
09.04. 09:15;20,859
09.04. 09:30;20,908
09.04. 09:45;20,859
09.04. 10:00;20,868
09.04. 10:15;20,957
09.04. 10:30;21,104
09.04. 10:45;21,321
09.04. 11:00;21,557
09.04. 11:15;21,754
09.04. 11:30;21,832
09.04. 11:45;21,685
09.04. 12:00;21,272
09.04. 12:15;20,632
09.04. 12:30;19,855
09.04. 12:45;19,02
09.04. 13:00;18,193
09.04. 13:15;17,446
09.04. 13:30;16,807
09.04. 13:45;16,354
09.04. 14:00;16,118
09.04. 14:15;16,089
09.04. 14:30;16,236
09.04. 14:45;16,541
09.04. 15:00;16,964
09.04. 15:15;17,436
09.04. 15:30;17,839
09.04. 15:45;18,105
09.04. 16:00;18,144
09.04. 16:15;18,056
09.04. 16:30;17,908
09.04. 16:45;17,83
09.04. 17:00;17,849
09.04. 17:15;17,869
09.04. 17:30;17,702
09.04. 17:45;17,181
09.04. 18:00;16,207
09.04. 18:15;14,899
09.04. 18:30;13,473
09.04. 18:45;12,126
09.04. 19:00;11,024
09.04. 19:15;10,169
09.04. 19:30;9,5688
09.04. 19:45;9,1853
09.04. 20:00;9,0082
09.04. 20:15;8,9591
09.04. 20:30;8,9591
09.04. 20:45;8,9099
09.04. 21:00;8,7722
09.04. 21:15;8,5755
09.04. 21:30;8,3592
09.04. 21:45;8,1822
09.04. 22:00;8,074
09.04. 22:15;8,0346
09.04. 22:30;8,0248
09.04. 22:45;7,9953
09.04. 23:00;7,9265
09.04. 23:15;7,8183
09.04. 23:30;7,6609
09.04. 23:45;7,4446
10.04. 00:00;7,1791
10.04. 00:15;6,8939
10.04. 00:30;6,5988
10.04. 00:45;6,3431
10.04. 01:00;6,1268
10.04. 01:15;5,9596
10.04. 01:30;5,8219
10.04. 01:45;5,6941
10.04. 02:00;5,5761
10.04. 02:15;5,4679
10.04. 02:30;5,3794
10.04. 02:45;5,3302
10.04. 03:00;5,3204
10.04. 03:15;5,3695
10.04. 03:30;5,4876
10.04. 03:45;5,6941
10.04. 04:00;5,9891
10.04. 04:15;6,3333
10.04. 04:30;6,6873
10.04. 04:45;6,9824
10.04. 05:00;7,1987
10.04. 05:15;7,3462
10.04. 05:30;7,4446
10.04. 05:45;7,5331
10.04. 06:00;7,6413
10.04. 06:15;7,7986
10.04. 06:30;8,0543
10.04. 06:45;8,4575
10.04. 07:00;9,0377
10.04. 07:15;9,8737
10.04. 07:30;11,005
10.04. 07:45;12,499
10.04. 08:00;14,348
10.04. 08:15;16,345
10.04. 08:30;18,213
10.04. 08:45;19,669
10.04. 09:00;20,505
10.04. 09:15;20,859
10.04. 09:30;20,908
10.04. 09:45;20,859
10.04. 10:00;20,868
10.04. 10:15;20,957
10.04. 10:30;21,104
10.04. 10:45;21,321
10.04. 11:00;21,557
10.04. 11:15;21,754
10.04. 11:30;21,832
10.04. 11:45;21,685
10.04. 12:00;21,272
10.04. 12:15;20,632
10.04. 12:30;19,855
10.04. 12:45;19,02
10.04. 13:00;18,193
10.04. 13:15;17,446
10.04. 13:30;16,807
10.04. 13:45;16,354
10.04. 14:00;16,118
10.04. 14:15;16,089
10.04. 14:30;16,236
10.04. 14:45;16,541
10.04. 15:00;16,964
10.04. 15:15;17,436
10.04. 15:30;17,839
10.04. 15:45;18,105
10.04. 16:00;18,144
10.04. 16:15;18,056
10.04. 16:30;17,908
10.04. 16:45;17,83
10.04. 17:00;17,849
10.04. 17:15;17,869
10.04. 17:30;17,702
10.04. 17:45;17,181
10.04. 18:00;16,207
10.04. 18:15;14,899
10.04. 18:30;13,473
10.04. 18:45;12,126
10.04. 19:00;11,024
10.04. 19:15;10,169
10.04. 19:30;9,5688
10.04. 19:45;9,1853
10.04. 20:00;9,0082
10.04. 20:15;8,9591
10.04. 20:30;8,9591
10.04. 20:45;8,9099
10.04. 21:00;8,7722
10.04. 21:15;8,5755
10.04. 21:30;8,3592
10.04. 21:45;8,1822
10.04. 22:00;8,074
10.04. 22:15;8,0346
10.04. 22:30;8,0248
10.04. 22:45;7,9953
10.04. 23:00;7,9265
10.04. 23:15;7,8183
10.04. 23:30;7,6609
10.04. 23:45;7,4446
11.04. 00:00;7,1791
11.04. 00:15;6,8939
11.04. 00:30;6,5988
11.04. 00:45;6,3431
11.04. 01:00;6,1268
11.04. 01:15;5,9596
11.04. 01:30;5,8219
11.04. 01:45;5,6941
11.04. 02:00;5,5761
11.04. 02:15;5,4679
11.04. 02:30;5,3794
11.04. 02:45;5,3302
11.04. 03:00;5,3204
11.04. 03:15;5,3695
11.04. 03:30;5,4876
11.04. 03:45;5,6941
11.04. 04:00;5,9891
11.04. 04:15;6,3333
11.04. 04:30;6,6873
11.04. 04:45;6,9824
11.04. 05:00;7,1987
11.04. 05:15;7,3462
11.04. 05:30;7,4446
11.04. 05:45;7,5331
11.04. 06:00;7,6413
11.04. 06:15;7,7986
11.04. 06:30;8,0543
11.04. 06:45;8,4575
11.04. 07:00;9,0377
11.04. 07:15;9,8737
11.04. 07:30;11,005
11.04. 07:45;12,499
11.04. 08:00;14,348
11.04. 08:15;16,345
11.04. 08:30;18,213
11.04. 08:45;19,669
11.04. 09:00;20,505
11.04. 09:15;20,859
11.04. 09:30;20,908
11.04. 09:45;20,859
11.04. 10:00;20,868
11.04. 10:15;20,957
11.04. 10:30;21,104
11.04. 10:45;21,321
11.04. 11:00;21,557
11.04. 11:15;21,754
11.04. 11:30;21,832
11.04. 11:45;21,685
11.04. 12:00;21,272
11.04. 12:15;20,632
11.04. 12:30;19,855
11.04. 12:45;19,02
11.04. 13:00;18,193
11.04. 13:15;17,446
11.04. 13:30;16,807
11.04. 13:45;16,354
11.04. 14:00;16,118
11.04. 14:15;16,089
11.04. 14:30;16,236
11.04. 14:45;16,541
11.04. 15:00;16,964
11.04. 15:15;17,436
11.04. 15:30;17,839
11.04. 15:45;18,105
11.04. 16:00;18,144
11.04. 16:15;18,056
11.04. 16:30;17,908
11.04. 16:45;17,83
11.04. 17:00;17,849
11.04. 17:15;17,869
11.04. 17:30;17,702
11.04. 17:45;17,181
11.04. 18:00;16,207
11.04. 18:15;14,899
11.04. 18:30;13,473
11.04. 18:45;12,126
11.04. 19:00;11,024
11.04. 19:15;10,169
11.04. 19:30;9,5688
11.04. 19:45;9,1853
11.04. 20:00;9,0082
11.04. 20:15;8,9591
11.04. 20:30;8,9591
11.04. 20:45;8,9099
11.04. 21:00;8,7722
11.04. 21:15;8,5755
11.04. 21:30;8,3592
11.04. 21:45;8,1822
11.04. 22:00;8,074
11.04. 22:15;8,0346
11.04. 22:30;8,0248
11.04. 22:45;7,9953
11.04. 23:00;7,9265
11.04. 23:15;7,8183
11.04. 23:30;7,6609
11.04. 23:45;7,4446
12.04. 00:00;7,1791
12.04. 00:15;6,8939
12.04. 00:30;6,5988
12.04. 00:45;6,3431
12.04. 01:00;6,1268
12.04. 01:15;5,9596
12.04. 01:30;5,8219
12.04. 01:45;5,6941
12.04. 02:00;5,5761
12.04. 02:15;5,4679
12.04. 02:30;5,3794
12.04. 02:45;5,3302
12.04. 03:00;5,3204
12.04. 03:15;5,3695
12.04. 03:30;5,4876
12.04. 03:45;5,6941
12.04. 04:00;5,9891
12.04. 04:15;6,3333
12.04. 04:30;6,6873
12.04. 04:45;6,9824
12.04. 05:00;7,1987
12.04. 05:15;7,3462
12.04. 05:30;7,4446
12.04. 05:45;7,5331
12.04. 06:00;7,6413
12.04. 06:15;7,7986
12.04. 06:30;8,0543
12.04. 06:45;8,4575
12.04. 07:00;9,0377
12.04. 07:15;9,8737
12.04. 07:30;11,005
12.04. 07:45;12,499
12.04. 08:00;14,348
12.04. 08:15;16,345
12.04. 08:30;18,213
12.04. 08:45;19,669
12.04. 09:00;20,505
12.04. 09:15;20,859
12.04. 09:30;20,908
12.04. 09:45;20,859
12.04. 10:00;20,868
12.04. 10:15;20,957
12.04. 10:30;21,104
12.04. 10:45;21,321
12.04. 11:00;21,557
12.04. 11:15;21,754
12.04. 11:30;21,832
12.04. 11:45;21,685
12.04. 12:00;21,272
12.04. 12:15;20,632
12.04. 12:30;19,855
12.04. 12:45;19,02
12.04. 13:00;18,193
12.04. 13:15;17,446
12.04. 13:30;16,807
12.04. 13:45;16,354
12.04. 14:00;16,118
12.04. 14:15;16,089
12.04. 14:30;16,236
12.04. 14:45;16,541
12.04. 15:00;16,964
12.04. 15:15;17,436
12.04. 15:30;17,839
12.04. 15:45;18,105
12.04. 16:00;18,144
12.04. 16:15;18,056
12.04. 16:30;17,908
12.04. 16:45;17,83
12.04. 17:00;17,849
12.04. 17:15;17,869
12.04. 17:30;17,702
12.04. 17:45;17,181
12.04. 18:00;16,207
12.04. 18:15;14,899
12.04. 18:30;13,473
12.04. 18:45;12,126
12.04. 19:00;11,024
12.04. 19:15;10,169
12.04. 19:30;9,5688
12.04. 19:45;9,1853
12.04. 20:00;9,0082
12.04. 20:15;8,9591
12.04. 20:30;8,9591
12.04. 20:45;8,9099
12.04. 21:00;8,7722
12.04. 21:15;8,5755
12.04. 21:30;8,3592
12.04. 21:45;8,1822
12.04. 22:00;8,074
12.04. 22:15;8,0346
12.04. 22:30;8,0248
12.04. 22:45;7,9953
12.04. 23:00;7,9265
12.04. 23:15;7,8183
12.04. 23:30;7,6609
12.04. 23:45;7,4446
13.04. 00:00;7,4544
13.04. 00:15;7,5429
13.04. 00:30;7,6413
13.04. 00:45;7,7199
13.04. 01:00;7,7199
13.04. 01:15;7,6511
13.04. 01:30;7,5331
13.04. 01:45;7,3462
13.04. 02:00;7,1397
13.04. 02:15;6,9234
13.04. 02:30;6,7365
13.04. 02:45;6,6185
13.04. 03:00;6,589
13.04. 03:15;6,6382
13.04. 03:30;6,7168
13.04. 03:45;6,7955
13.04. 04:00;6,8545
13.04. 04:15;6,8939
13.04. 04:30;6,9332
13.04. 04:45;6,9824
13.04. 05:00;7,061
13.04. 05:15;7,1299
13.04. 05:30;7,1791
13.04. 05:45;7,1692
13.04. 06:00;7,1004
13.04. 06:15;7,1004
13.04. 06:30;7,3167
13.04. 06:45;7,9068
13.04. 07:00;8,9492
13.04. 07:15;10,346
13.04. 07:30;11,919
13.04. 07:45;13,512
13.04. 08:00;14,958
13.04. 08:15;16,217
13.04. 08:30;17,22
13.04. 08:45;17,918
13.04. 09:00;18,302
13.04. 09:15;18,439
13.04. 09:30;18,459
13.04. 09:45;18,469
13.04. 10:00;18,557
13.04. 10:15;18,695
13.04. 10:30;18,872
13.04. 10:45;19,02
13.04. 11:00;19,128
13.04. 11:15;19,187
13.04. 11:30;19,206
13.04. 11:45;19,206
13.04. 12:00;19,167
13.04. 12:15;19,069
13.04. 12:30;18,852
13.04. 12:45;18,469
13.04. 13:00;17,889
13.04. 13:15;17,122
13.04. 13:30;16,207
13.04. 13:45;15,165
13.04. 14:00;14,024
13.04. 14:15;12,873
13.04. 14:30;11,782
13.04. 14:45;10,847
13.04. 15:00;10,1
13.04. 15:15;9,5295
13.04. 15:30;9,0574
13.04. 15:45;8,6345
13.04. 16:00;8,2215
13.04. 16:15;7,838
13.04. 16:30;7,5626
13.04. 16:45;7,4446
13.04. 17:00;7,5233
13.04. 17:15;7,7298
13.04. 17:30;7,9756
13.04. 17:45;8,1822
13.04. 18:00;8,2707
13.04. 18:15;8,2903
13.04. 18:30;8,2707
13.04. 18:45;8,2707
13.04. 19:00;8,3297
13.04. 19:15;8,4378
13.04. 19:30;8,5854
13.04. 19:45;8,7329
13.04. 20:00;8,8607
13.04. 20:15;8,9689
13.04. 20:30;9,0181
13.04. 20:45;9,0082
13.04. 21:00;8,9099
13.04. 21:15;8,7525
13.04. 21:30;8,5657
13.04. 21:45;8,3592
13.04. 22:00;8,1723
13.04. 22:15;7,9855
13.04. 22:30;7,8085
13.04. 22:45;7,6314
13.04. 23:00;7,4446
13.04. 23:15;7,2577
13.04. 23:30;7,0709
13.04. 23:45;6,8939
14.04. 00:00;6,7168
14.04. 00:15;6,5398
14.04. 00:30;6,353
14.04. 00:45;6,1563
14.04. 01:00;5,9301
14.04. 01:15;5,6941
14.04. 01:30;5,458
14.04. 01:45;5,2417
14.04. 02:00;5,0352
14.04. 02:15;4,868
14.04. 02:30;4,7205
14.04. 02:45;4,5926
14.04. 03:00;4,4943
14.04. 03:15;4,4156
14.04. 03:30;4,3566
14.04. 03:45;4,3173
14.04. 04:00;4,2878
14.04. 04:15;4,2779
14.04. 04:30;4,2878
14.04. 04:45;4,3173
14.04. 05:00;4,3763
14.04. 05:15;4,4353
14.04. 05:30;4,4845
14.04. 05:45;4,5041
14.04. 06:00;4,4845
14.04. 06:15;4,4549
14.04. 06:30;4,4451
14.04. 06:45;4,5041
14.04. 07:00;4,6418
14.04. 07:15;4,8287
14.04. 07:30;5,0155
14.04. 07:45;5,1434
14.04. 08:00;5,1925
14.04. 08:15;5,2024
14.04. 08:30;5,222
14.04. 08:45;5,3302
14.04. 09:00;5,5466
14.04. 09:15;5,8514
14.04. 09:30;6,1661
14.04. 09:45;6,4316
14.04. 10:00;6,6087
14.04. 10:15;6,7365
14.04. 10:30;6,8447
14.04. 10:45;6,9824
14.04. 11:00;7,1889
14.04. 11:15;7,4347
14.04. 11:30;7,6904
14.04. 11:45;7,9068
14.04. 12:00;8,0543
14.04. 12:15;8,1428
14.04. 12:30;8,1822
14.04. 12:45;8,1822
14.04. 13:00;8,1428
14.04. 13:15;8,074
14.04. 13:30;7,956
14.04. 13:45;7,8085
14.04. 14:00;7,6216
14.04. 14:15;7,4052
14.04. 14:30;7,1889
14.04. 14:45;6,9824
14.04. 15:00;6,8054
14.04. 15:15;6,648
14.04. 15:30;6,5005
14.04. 15:45;6,3431
14.04. 16:00;6,176
14.04. 16:15;6,0481
14.04. 16:30;6,0186
14.04. 16:45;6,1563
14.04. 17:00;6,4808
14.04. 17:15;6,9234
14.04. 17:30;7,3757
14.04. 17:45;7,7199
14.04. 18:00;7,8773
14.04. 18:15;7,9068
14.04. 18:30;7,8871
14.04. 18:45;7,9068
14.04. 19:00;8,0051
14.04. 19:15;8,1723
14.04. 19:30;8,369
14.04. 19:45;8,546
14.04. 20:00;8,664
14.04. 20:15;8,723
14.04. 20:30;8,7132
14.04. 20:45;8,6345
14.04. 21:00;8,4969
14.04. 21:15;8,3002
14.04. 21:30;8,0641
14.04. 21:45;7,8085
14.04. 22:00;7,5429
14.04. 22:15;7,2872
14.04. 22:30;7,0315
14.04. 22:45;6,7955
14.04. 23:00;6,589
14.04. 23:15;6,4218
14.04. 23:30;6,3038
14.04. 23:45;6,2448
15.04. 00:00;7,1791
15.04. 00:15;6,8939
15.04. 00:30;6,5988
15.04. 00:45;6,3431
15.04. 01:00;6,1268
15.04. 01:15;5,9596
15.04. 01:30;5,8219
15.04. 01:45;5,6941
15.04. 02:00;5,5761
15.04. 02:15;5,4679
15.04. 02:30;5,3794
15.04. 02:45;5,3302
15.04. 03:00;5,3204
15.04. 03:15;5,3695
15.04. 03:30;5,4876
15.04. 03:45;5,6941
15.04. 04:00;5,9891
15.04. 04:15;6,3333
15.04. 04:30;6,6873
15.04. 04:45;6,9824
15.04. 05:00;7,1987
15.04. 05:15;7,3462
15.04. 05:30;7,4446
15.04. 05:45;7,5331
15.04. 06:00;7,6413
15.04. 06:15;7,7986
15.04. 06:30;8,0543
15.04. 06:45;8,4575
15.04. 07:00;9,0377
15.04. 07:15;9,8737
15.04. 07:30;11,005
15.04. 07:45;12,499
15.04. 08:00;14,348
15.04. 08:15;16,345
15.04. 08:30;18,213
15.04. 08:45;19,669
15.04. 09:00;20,505
15.04. 09:15;20,859
15.04. 09:30;20,908
15.04. 09:45;20,859
15.04. 10:00;20,868
15.04. 10:15;20,957
15.04. 10:30;21,104
15.04. 10:45;21,321
15.04. 11:00;21,557
15.04. 11:15;21,754
15.04. 11:30;21,832
15.04. 11:45;21,685
15.04. 12:00;21,272
15.04. 12:15;20,632
15.04. 12:30;19,855
15.04. 12:45;19,02
15.04. 13:00;18,193
15.04. 13:15;17,446
15.04. 13:30;16,807
15.04. 13:45;16,354
15.04. 14:00;16,118
15.04. 14:15;16,089
15.04. 14:30;16,236
15.04. 14:45;16,541
15.04. 15:00;16,964
15.04. 15:15;17,436
15.04. 15:30;17,839
15.04. 15:45;18,105
15.04. 16:00;18,144
15.04. 16:15;18,056
15.04. 16:30;17,908
15.04. 16:45;17,83
15.04. 17:00;17,849
15.04. 17:15;17,869
15.04. 17:30;17,702
15.04. 17:45;17,181
15.04. 18:00;16,207
15.04. 18:15;14,899
15.04. 18:30;13,473
15.04. 18:45;12,126
15.04. 19:00;11,024
15.04. 19:15;10,169
15.04. 19:30;9,5688
15.04. 19:45;9,1853
15.04. 20:00;9,0082
15.04. 20:15;8,9591
15.04. 20:30;8,9591
15.04. 20:45;8,9099
15.04. 21:00;8,7722
15.04. 21:15;8,5755
15.04. 21:30;8,3592
15.04. 21:45;8,1822
15.04. 22:00;8,074
15.04. 22:15;8,0346
15.04. 22:30;8,0248
15.04. 22:45;7,9953
15.04. 23:00;7,9265
15.04. 23:15;7,8183
15.04. 23:30;7,6609
15.04. 23:45;7,4446
16.04. 00:00;7,1791
16.04. 00:15;6,8939
16.04. 00:30;6,5988
16.04. 00:45;6,3431
16.04. 01:00;6,1268
16.04. 01:15;5,9596
16.04. 01:30;5,8219
16.04. 01:45;5,6941
16.04. 02:00;5,5761
16.04. 02:15;5,4679
16.04. 02:30;5,3794
16.04. 02:45;5,3302
16.04. 03:00;5,3204
16.04. 03:15;5,3695
16.04. 03:30;5,4876
16.04. 03:45;5,6941
16.04. 04:00;5,9891
16.04. 04:15;6,3333
16.04. 04:30;6,6873
16.04. 04:45;6,9824
16.04. 05:00;7,1987
16.04. 05:15;7,3462
16.04. 05:30;7,4446
16.04. 05:45;7,5331
16.04. 06:00;7,6413
16.04. 06:15;7,7986
16.04. 06:30;8,0543
16.04. 06:45;8,4575
16.04. 07:00;9,0377
16.04. 07:15;9,8737
16.04. 07:30;11,005
16.04. 07:45;12,499
16.04. 08:00;14,348
16.04. 08:15;16,345
16.04. 08:30;18,213
16.04. 08:45;19,669
16.04. 09:00;20,505
16.04. 09:15;20,859
16.04. 09:30;20,908
16.04. 09:45;20,859
16.04. 10:00;20,868
16.04. 10:15;20,957
16.04. 10:30;21,104
16.04. 10:45;21,321
16.04. 11:00;21,557
16.04. 11:15;21,754
16.04. 11:30;21,832
16.04. 11:45;21,685
16.04. 12:00;21,272
16.04. 12:15;20,632
16.04. 12:30;19,855
16.04. 12:45;19,02
16.04. 13:00;18,193
16.04. 13:15;17,446
16.04. 13:30;16,807
16.04. 13:45;16,354
16.04. 14:00;16,118
16.04. 14:15;16,089
16.04. 14:30;16,236
16.04. 14:45;16,541
16.04. 15:00;16,964
16.04. 15:15;17,436
16.04. 15:30;17,839
16.04. 15:45;18,105
16.04. 16:00;18,144
16.04. 16:15;18,056
16.04. 16:30;17,908
16.04. 16:45;17,83
16.04. 17:00;17,849
16.04. 17:15;17,869
16.04. 17:30;17,702
16.04. 17:45;17,181
16.04. 18:00;16,207
16.04. 18:15;14,899
16.04. 18:30;13,473
16.04. 18:45;12,126
16.04. 19:00;11,024
16.04. 19:15;10,169
16.04. 19:30;9,5688
16.04. 19:45;9,1853
16.04. 20:00;9,0082
16.04. 20:15;8,9591
16.04. 20:30;8,9591
16.04. 20:45;8,9099
16.04. 21:00;8,7722
16.04. 21:15;8,5755
16.04. 21:30;8,3592
16.04. 21:45;8,1822
16.04. 22:00;8,074
16.04. 22:15;8,0346
16.04. 22:30;8,0248
16.04. 22:45;7,9953
16.04. 23:00;7,9265
16.04. 23:15;7,8183
16.04. 23:30;7,6609
16.04. 23:45;7,4446
17.04. 00:00;7,1791
17.04. 00:15;6,8939
17.04. 00:30;6,5988
17.04. 00:45;6,3431
17.04. 01:00;6,1268
17.04. 01:15;5,9596
17.04. 01:30;5,8219
17.04. 01:45;5,6941
17.04. 02:00;5,5761
17.04. 02:15;5,4679
17.04. 02:30;5,3794
17.04. 02:45;5,3302
17.04. 03:00;5,3204
17.04. 03:15;5,3695
17.04. 03:30;5,4876
17.04. 03:45;5,6941
17.04. 04:00;5,9891
17.04. 04:15;6,3333
17.04. 04:30;6,6873
17.04. 04:45;6,9824
17.04. 05:00;7,1987
17.04. 05:15;7,3462
17.04. 05:30;7,4446
17.04. 05:45;7,5331
17.04. 06:00;7,6413
17.04. 06:15;7,7986
17.04. 06:30;8,0543
17.04. 06:45;8,4575
17.04. 07:00;9,0377
17.04. 07:15;9,8737
17.04. 07:30;11,005
17.04. 07:45;12,499
17.04. 08:00;14,348
17.04. 08:15;16,345
17.04. 08:30;18,213
17.04. 08:45;19,669
17.04. 09:00;20,505
17.04. 09:15;20,859
17.04. 09:30;20,908
17.04. 09:45;20,859
17.04. 10:00;20,868
17.04. 10:15;20,957
17.04. 10:30;21,104
17.04. 10:45;21,321
17.04. 11:00;21,557
17.04. 11:15;21,754
17.04. 11:30;21,832
17.04. 11:45;21,685
17.04. 12:00;21,272
17.04. 12:15;20,632
17.04. 12:30;19,855
17.04. 12:45;19,02
17.04. 13:00;18,193
17.04. 13:15;17,446
17.04. 13:30;16,807
17.04. 13:45;16,354
