01.01. 00:00;0,0
01.01. 01:00;0,0
01.01. 02:00;0,0
01.01. 03:00;0,0
01.01. 04:00;0,0
01.01. 05:00;0,0
01.01. 06:00;0,0
01.01. 07:00;0,0
01.01. 08:00;1,6070200000000001
01.01. 09:00;24,3941
01.01. 10:00;36,740899999999996
01.01. 11:00;13,1976
01.01. 12:00;23,7482
01.01. 13:00;18,7587
01.01. 14:00;9,5549
01.01. 15:00;0,29311
01.01. 16:00;0,0
01.01. 17:00;0,0
01.01. 18:00;0,0
01.01. 19:00;0,0
01.01. 20:00;0,0
01.01. 21:00;0,0
01.01. 22:00;0,0
01.01. 23:00;0,0
02.01. 00:00;0,0
02.01. 01:00;0,0
02.01. 02:00;0,0
02.01. 03:00;0,0
02.01. 04:00;0,0
02.01. 05:00;0,0
02.01. 06:00;0,0
02.01. 07:00;0,0
02.01. 08:00;2,82458
02.01. 09:00;29,970799999999997
02.01. 10:00;60,384
02.01. 11:00;69,665
02.01. 12:00;35,0721
02.01. 13:00;3,18654
02.01. 14:00;2,61855
02.01. 15:00;0,439
02.01. 16:00;0,0
02.01. 17:00;0,0
02.01. 18:00;0,0
02.01. 19:00;0,0
02.01. 20:00;0,0
02.01. 21:00;0,0
02.01. 22:00;0,0
02.01. 23:00;0,0
03.01. 00:00;0,0
03.01. 01:00;0,0
03.01. 02:00;0,0
03.01. 03:00;0,0
03.01. 04:00;0,0
03.01. 05:00;0,0
03.01. 06:00;0,0
03.01. 07:00;0,0
03.01. 08:00;0,66675
03.01. 09:00;12,8875
03.01. 10:00;38,4592
03.01. 11:00;39,6656
03.01. 12:00;30,290399999999998
03.01. 13:00;6,36151
03.01. 14:00;12,496
03.01. 15:00;11,0304
03.01. 16:00;0,0
03.01. 17:00;0,0
03.01. 18:00;0,0
03.01. 19:00;0,0
03.01. 20:00;0,0
03.01. 21:00;0,0
03.01. 22:00;0,0
03.01. 23:00;0,0
04.01. 00:00;0,0
04.01. 01:00;0,0
04.01. 02:00;0,0
04.01. 03:00;0,0
04.01. 04:00;0,0
04.01. 05:00;0,0
04.01. 06:00;0,0
04.01. 07:00;0,0
04.01. 08:00;0,20232
04.01. 09:00;6,6704799999999995
04.01. 10:00;10,6105
04.01. 11:00;14,451
04.01. 12:00;7,6694
04.01. 13:00;6,09474
04.01. 14:00;2,82822
04.01. 15:00;0,31284
04.01. 16:00;0,0
04.01. 17:00;0,0
04.01. 18:00;0,0
04.01. 19:00;0,0
04.01. 20:00;0,0
04.01. 21:00;0,0
04.01. 22:00;0,0
04.01. 23:00;0,0
05.01. 00:00;0,0
05.01. 01:00;0,0
05.01. 02:00;0,0
05.01. 03:00;0,0
05.01. 04:00;0,0
05.01. 05:00;0,0
05.01. 06:00;0,0
05.01. 07:00;0,0
05.01. 08:00;0,37555
05.01. 09:00;10,39297
05.01. 10:00;37,2912
05.01. 11:00;62,7328
05.01. 12:00;75,526
05.01. 13:00;50,56
05.01. 14:00;24,9666
05.01. 15:00;4,6687899999999996
05.01. 16:00;0,0
05.01. 17:00;0,0
05.01. 18:00;0,0
05.01. 19:00;0,0
05.01. 20:00;0,0
05.01. 21:00;0,0
05.01. 22:00;0,0
05.01. 23:00;0,0
06.01. 00:00;0,0
06.01. 01:00;0,0
06.01. 02:00;0,0
06.01. 03:00;0,0
06.01. 04:00;0,0
06.01. 05:00;0,0
06.01. 06:00;0,0
06.01. 07:00;0,0
06.01. 08:00;2,51211
06.01. 09:00;15,8103
06.01. 10:00;37,6755
06.01. 11:00;62,1975
06.01. 12:00;41,6235
06.01. 13:00;42,4225
06.01. 14:00;16,676099999999998
06.01. 15:00;3,40972
06.01. 16:00;0,0
06.01. 17:00;0,0
06.01. 18:00;0,0
06.01. 19:00;0,0
06.01. 20:00;0,0
06.01. 21:00;0,0
06.01. 22:00;0,0
06.01. 23:00;0,0
07.01. 00:00;0,0
07.01. 01:00;0,0
07.01. 02:00;0,0
07.01. 03:00;0,0
07.01. 04:00;0,0
07.01. 05:00;0,0
07.01. 06:00;0,0
07.01. 07:00;0,0
07.01. 08:00;0,64418
07.01. 09:00;3,61339
07.01. 10:00;9,8409
07.01. 11:00;5,38841
07.01. 12:00;6,834020000000001
07.01. 13:00;8,55236
