Zeit;pv
12.01. 07:00;0
12.01. 08:00;0
12.01. 09:00;3,7329
12.01. 10:00;9,5986
12.01. 11:00;12,799
12.01. 12:00;8,5371
12.01. 13:00;10,649
12.01. 14:00;7,4849
12.01. 15:00;1,8009
12.01. 16:00;0
12.01. 17:00;0
12.01. 18:00;0
12.01. 19:00;0
12.01. 20:00;0
12.01. 21:00;0
12.01. 22:00;0
12.01. 23:00;0
13.01. 00:00;0
13.01. 01:00;0
13.01. 02:00;0
13.01. 03:00;0
13.01. 04:00;0
13.01. 05:00;0
13.01. 06:00;0
13.01. 07:00;0
13.01. 08:00;4,4724
13.01. 09:00;26,908
13.01. 10:00;47,082
13.01. 11:00;18,76
13.01. 12:00;46,268
13.01. 13:00;28,293
13.01. 14:00;16,57
13.01. 15:00;4,1305
13.01. 16:00;0
13.01. 17:00;0
13.01. 18:00;0
13.01. 19:00;0
13.01. 20:00;0
13.01. 21:00;0
13.01. 22:00;0
13.01. 23:00;0
14.01. 00:00;0
14.01. 01:00;0
14.01. 02:00;0
14.01. 03:00;0
14.01. 04:00;0
14.01. 05:00;0
14.01. 06:00;0
14.01. 07:00;0
14.01. 08:00;1,8402
14.01. 09:00;22,589
14.01. 10:00;43,636
14.01. 11:00;63,791
14.01. 12:00;69,392
14.01. 13:00;39,714
14.01. 14:00;14,044
14.01. 15:00;1,2309
14.01. 16:00;0
14.01. 17:00;0
14.01. 18:00;0
14.01. 19:00;0
14.01. 20:00;0
14.01. 21:00;0
14.01. 22:00;0
14.01. 23:00;0
15.01. 00:00;0
15.01. 01:00;0
15.01. 02:00;0
15.01. 03:00;0
15.01. 04:00;0
15.01. 05:00;0
15.01. 06:00;0
15.01. 07:00;0
15.01. 08:00;1,5344
15.01. 09:00;14,183
15.01. 10:00;16,374
15.01. 11:00;12,701
15.01. 12:00;10,888
15.01. 13:00;9,0892
15.01. 14:00;7,3036
15.01. 15:00;1,8528
15.01. 16:00;0
15.01. 17:00;0
15.01. 18:00;0
15.01. 19:00;0
15.01. 20:00;0
15.01. 21:00;0
15.01. 22:00;0
15.01. 23:00;0
16.01. 00:00;0
16.01. 01:00;0
16.01. 02:00;0
16.01. 03:00;0
16.01. 04:00;0
16.01. 05:00;0
16.01. 06:00;0
16.01. 07:00;0
16.01. 08:00;3,8587
16.01. 09:00;36,564
16.01. 10:00;72,28
16.01. 11:00;86,121
16.01. 12:00;100,28
16.01. 13:00;88,709
16.01. 14:00;59,802
16.01. 15:00;23,976
16.01. 16:00;0
16.01. 17:00;0
16.01. 18:00;0
16.01. 19:00;0
16.01. 20:00;0
16.01. 21:00;0
16.01. 22:00;0
16.01. 23:00;0
17.01. 00:00;0
17.01. 01:00;0
17.01. 02:00;0
17.01. 03:00;0
17.01. 04:00;0
17.01. 05:00;0
17.01. 06:00;0
17.01. 07:00;0
17.01. 08:00;5,2283
17.01. 09:00;21,636
17.01. 10:00;25,333
17.01. 11:00;33,08
17.01. 12:00;53,689
17.01. 13:00;55,222
17.01. 14:00;24,286
17.01. 15:00;4,4668
17.01. 16:00;0
17.01. 17:00;0
17.01. 18:00;0
17.01. 19:00;0
17.01. 20:00;0
17.01. 21:00;0
17.01. 22:00;0
17.01. 23:00;0
18.01. 00:00;0
18.01. 01:00;0
18.01. 02:00;0
18.01. 03:00;0
18.01. 04:00;0
18.01. 05:00;0
18.01. 06:00;0
18.01. 07:00;0
18.01. 08:00;0,94467
18.01. 09:00;11,208
18.01. 10:00;22,532
18.01. 11:00;22,518
18.01. 12:00;25,459
18.01. 13:00;33,169
18.01. 14:00;25,755
18.01. 15:00;8,7144
18.01. 16:00;0
18.01. 17:00;0
18.01. 18:00;0
18.01. 19:00;0
18.01. 20:00;0
18.01. 21:00;0
18.01. 22:00;0
18.01. 23:00;0
19.01. 00:00;0
19.01. 01:00;0
19.01. 02:00;0
19.01. 03:00;0
19.01. 04:00;0
19.01. 05:00;0
19.01. 06:00;0
19.01. 07:00;0
19.01. 08:00;5,5691
19.01. 09:00;26,41
19.01. 10:00;23,056
19.01. 11:00;12,719
19.01. 12:00;31,092
19.01. 13:00;25,814
19.01. 14:00;16,604
19.01. 15:00;3,7939
19.01. 16:00;0,94341
19.01. 17:00;0
19.01. 18:00;0
19.01. 19:00;0
19.01. 20:00;0
19.01. 21:00;0
19.01. 22:00;0
19.01. 23:00;0
20.01. 00:00;0
20.01. 01:00;0
20.01. 02:00;0
20.01. 03:00;0
20.01. 04:00;0
20.01. 05:00;0
